No,Title,Full Name,First Name,Last Name,Party,Profession,Birthplace,Marital Status,Constituency,Constituency Info,Profile URL,Homepage,Facebook,Instagram,TikTok,X,Mastodon,YouTube,Bluesky,LinkedIn,Threads,Telegram,Youtube,Gettr,Odyssee,Rumble,Xing,Twitch,WhatsApp,Tiktok,Linkedin,TiKTOK,LindedIn,Blog,Spotify,BlueSky,https://,Instgagram,Theads,Instgram,Telegramm,homepage
317,,Armin Laschet,Armin,Laschet,CDU/CSU,,Aachen; römisch-katholisch; verheiratet; drei Kinder.,verheiratet,Nordrhein-Westfalen,Wahlkreis 086: Aachen I,https://www.bundestag.de/abgeordnete/biografien/L/laschet_armin-1045736,https://armin-laschet.de,https://www.facebook.com/ArminLaschet,,,https://x.com/ArminLaschet,,,,,,,,,,,,,,,,,,,,,,,,,,
318,,Ina Latendorf,Ina,Latendorf,Die Linke,Juristin,Greifswald; ledig; ein Kind.,ledig,Mecklenburg-Vorpommern,Wahlkreis 012: Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,https://www.bundestag.de/abgeordnete/biografien/L/latendorf_ina-1045738,https://www.ina-latendorf.de,https://www.instagram.com/ina.latendorf/,https://www.facebook.com/p/Ina-Latendorf-100067909545122/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Dr.,Silke Launert,Silke,Launert,CDU/CSU,,Stadtsteinach; evangelisch-lutherisch; zwei Kinder.,geschieden,Bayern,Wahlkreis 236: Bayreuth,https://www.bundestag.de/abgeordnete/biografien/L/launert_silke-1045740,http://www.silke-launert.de,http://www.facebook.com/launert.silke,http://www.instagram.com/silkelaunert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Prof. Dr.,Karl Lauterbach,Karl,Lauterbach,SPD,Universitätsprofessor,Birkesdorf (jetzt Düren).,geschieden,Nordrhein-Westfalen,Wahlkreis 100: Leverkusen – Köln IV,https://www.bundestag.de/abgeordnete/biografien/L/lauterbach_karl-1048870,http://www.karllauterbach.de/,https://www.facebook.com/Karl.Lauterbach.spd,https://www.instagram.com/karl_lauterbach_mdb/,,https://www.twitter.com/karl_lauterbach,,,,,,,,,,,,,,,,,,,,,,,,,,
321,,Caren Lay,Caren,Lay,Die Linke,Diplom Soziologin,Neuwied.,geschieden,Sachsen,Wahlkreis 155: Bautzen I,https://www.bundestag.de/abgeordnete/biografien/L/lay_caren-1045746,http://www.caren-lay.de,https://www.facebook.com/caren.lay,https://www.instagram.com/caren.lay,https://www.tiktok.com/@caren.lay.mdb,,,,https://bsky.app/profile/carenlay.bsky.social,,,,,,,,,,,,,,,,,,,,,,,
322,,Jens Lehmann,Jens,Lehmann,CDU/CSU,Erzieher,Stolberg (Harz).,geschieden,Sachsen,Wahlkreis 151: Leipzig I,https://www.bundestag.de/abgeordnete/biografien/L/lehmann_jens-1045756,http://www.jenslehmannleipzig.de/,https://www.facebook.com/JensLehmannLeipzig,https://www.instagram.com/jenslehmann.Leipzig/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,Sven Lehmann,Sven,Lehmann,Bündnis 90/Die Grünen,Staatssekretär,Troisdorf-Sieglar.,geschieden,Nordrhein-Westfalen,Wahlkreis 093: Köln II,https://www.bundestag.de/abgeordnete/biografien/L/lehmann_sven-1045758,http://www.sven-lehmann.eu/,https://www.facebook.com/SvenLehmannMdB,https://www.instagram.com/_svenlehmann_/,https://www.tiktok.com/@_svenlehmann_,,,,https://bsky.app/profile/sven-lehmann.eu,,https://www.threads.net/@_svenlehmann_,,,,,,,,,,,,,,,,,,,,,
324,,Sonja Janet Lemke,Sonja Janet,Lemke,Die Linke,Informatikerin,Berlin.,geschieden,Nordrhein-Westfalen,Wahlkreis 142: Dortmund II,https://www.bundestag.de/abgeordnete/biografien/L/lemke_sonja-1045784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,,Steffi Lemke,Steffi,Lemke,Bündnis 90/Die Grünen,Diplom-Agraringenieurin,Dessau.,geschieden,Sachsen-Anhalt,Wahlkreis 070: Anhalt – Dessau – Wittenberg,https://www.bundestag.de/abgeordnete/biografien/L/lemke_steffi-1045786,http://www.steffi-lemke.de,,https://www.instagram.com/lemke.steffi/,,,,,https://bsky.app/profile/steffi-lemke.de,,,,,,,,,,,,,,,,,,,,,,,
326,,Rebecca Lenhard,Rebecca,Lenhard,Bündnis 90/Die Grünen,IT-Beraterin,Forchheim; konfessionslos; ledig.,ledig,Bayern,Wahlkreis 243: Nürnberg-Nord,https://www.bundestag.de/abgeordnete/biografien/L/lenhard_rebecca-1045792,https://www.rebecca-lenhard.de,,https://www.instagram.com/rebecca.lenhard,,,,,,https://www.linkedin.com/in/rebecca-lenhard-300048151,,,,,,,,,,,,,,,,,,,,,,
327,,Sascha Lensing,Sascha,Lensing,AfD,Polizeibeamter,Duisburg.,geschieden,Nordrhein-Westfalen,Wahlkreis 115: Duisburg II,https://www.bundestag.de/abgeordnete/biografien/L/lensing_sascha-1045796,,https://www.facebook.com/p/sascha-lensing-100063885502591/,https://www.instagram.com/sascha_lensing/,https://www.tiktok.com/@saschalensingafd,,,https://www.youtube.com/@saschalensingafd,,,,,,,,,,,,,,,,,,,,,,,,
328,Dr.,Andreas Lenz,Andreas,Lenz,CDU/CSU,Diplom-Betriebswirt (FH),Ebersberg; römisch-katholisch; ledig.,ledig,Bayern,Wahlkreis 212: Erding – Ebersberg,https://www.bundestag.de/abgeordnete/biografien/L/lenz_andreas-1048878,http://www.andreas-lenz.info,https://www.facebook.com/andreas.lenz.bundestag,http://www.instagram.com/andreas.lenz.bundestag,,https://x.com/DerLenzMdB,,,,,,,,,,,,,,,,,,,,,,,,,,
329,,Esra Limbacher,Esra,Limbacher,SPD,Jurist,Wiesbaden.,geschieden,Saarland,Wahlkreis 299: Homburg,https://www.bundestag.de/abgeordnete/biografien/L/limbacher_esra-1045824,https://www.esra-limbacher.de,https://www.facebook.com/esralimbacher,https://www.instagram.com/esralimbacher/,,https://twitter.com/esralimbacher,,,,,,,,,,,,,,,,,,,,,,,,,,
330,,Helge Limburg,Helge,Limburg,Bündnis 90/Die Grünen,Jurist,Hannover; evangelisch-lutherisch; verheiratet; drei Kinder.,verheiratet,Niedersachsen,Wahlkreis 046: Hameln-Pyrmont – Holzminden,https://www.bundestag.de/abgeordnete/biografien/L/limburg_helge-1045826,https://www.helge-limburg.de/,,https://www.instagram.com/helgelimburg/,,https://www.twitter.com/Helge_Limburg,,,https://bsky.app/profile/helgelimburg.bsky.social,,,,http://youtube.com/user/helgelimburg?feature=mhum,,,,,,,,,,,,,,,,,,,
331,,Helge Lindh,Helge,Lindh,SPD,,Wuppertal.,geschieden,Nordrhein-Westfalen,Wahlkreis 101: Wuppertal I,https://www.bundestag.de/abgeordnete/biografien/L/lindh_helge-1045828,http://www.helge-lindh.de,https://www.facebook.com/helgelindh,https://www.instagram.com/helgelindh/,,https://x.com/helgelindh,,,,,,,,,,,,,,,,,,,,,,,,,,
332,,Andrea Lindholz,Andrea,Lindholz,CDU/CSU,Rechtsanwältin,Bonn; römisch-katholisch; verheiratet; ein Kind.,verheiratet,Bayern,Wahlkreis 246: Aschaffenburg,https://www.bundestag.de/abgeordnete/biografien/L/lindholz_andrea-1045830,https://www.lindholz.de,https://www.facebook.com/andrea.lindholz/,https://www.instagram.com/andrea.lindholz/,,https://x.com/AndreaLindholz,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Dr.,Carsten Linnemann,Carsten,Linnemann,CDU/CSU,Diplom-Volkswirt,Paderborn.,geschieden,Nordrhein-Westfalen,Wahlkreis 136: Paderborn,https://www.bundestag.de/abgeordnete/biografien/L/linnemann_carsten-1048896,http://www.carsten-linnemann.de,http://facebook.com/carsten.linnemann.3/,https://www.instagram.com/carsten_linnemann/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,,Patricia Lips,Patricia,Lips,CDU/CSU,Handelsfachwirtin,"Mailand, Italien; römisch-katholisch; ledig.",ledig,Hessen,Wahlkreis 186: Odenwald,https://www.bundestag.de/abgeordnete/biografien/L/lips_patricia-1045854,http://www.patricia-lips.de,https://www.facebook.com/lips.cdu,https://www.instagram.com/patricia.lips.mdb/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,,Denise Loop,Denise,Loop,Bündnis 90/Die Grünen,Sozialarbeiterin,Itzehoe; evangelisch; verheiratet; ein Kind.,verheiratet,Schleswig-Holstein,Wahlkreis 002: Nordfriesland – Dithmarschen Nord,https://www.bundestag.de/abgeordnete/biografien/L/loop_denise-1045868,http://denise-loop.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,,Rüdiger Lucassen,Rüdiger,Lucassen,AfD,Diplom-Kaufmann,Dollerupholz; verheiratet; zwei Kinder.,verheiratet,Nordrhein-Westfalen,Wahlkreis 091: Euskirchen – Rhein-Erft-Kreis II,https://www.bundestag.de/abgeordnete/biografien/L/lucassen_hans-1045876,https://ruediger-lucassen.de/,https://www.facebook.com/Lucassen.Ruediger,,,https://x.com/mdb_lucassen?s=11&t=97dFLVWeZpDf-LmEF5IPtA,,https://www.youtube.com/channel/UCtkNHKLL5dndmPpD6c4sF8g,,,,,,,,,,,,,,,,,,,,,,,,
337,,Max Lucks,Max,Lucks,Bündnis 90/Die Grünen,Sozialwissenschaftler (B.A.),Gelsenkirchen-Ückendorf.,geschieden,Nordrhein-Westfalen,Wahlkreis 139: Bochum I,https://www.bundestag.de/abgeordnete/biografien/L/lucks_max-1045878,https://www.maxlucks.de/,https://www.facebook.com/max.lucks,https://www.instagram.com/max_lks,https://www.tiktok.com/@max_lks?lang=de-DE,https://twitter.com/max_lucks,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Dr.,Jan-Marco Luczak,Jan-Marco,Luczak,CDU/CSU,Rechtsanwalt,Berlin; evangelisch; ledig; ein Kind.,ledig,Berlin,Wahlkreis 080: Berlin-Tempelhof-Schöneberg,https://www.bundestag.de/abgeordnete/biografien/L/luczak_jan-1045880,http://www.luczak-berlin.de,https://www.facebook.com/JanMarcoLuczakMdB/,https://www.instagram.com/jm_luczak/,,http://twitter.com/JM_Luczak,,,,,,,,,,,,,,,,,,,,,,,,,,
339,,Daniela Ludwig,Daniela,Ludwig,CDU/CSU,Juristin,München; römisch-katholisch; verheiratet; zwei Kinder.,verheiratet,Bayern,Wahlkreis 221: Rosenheim,https://www.bundestag.de/abgeordnete/biografien/L/ludwig_daniela-1045886,http://www.daniela-ludwig.de,https://de-de.facebook.com/daniela.ludwig.bundestag/,https://www.instagram.com/daniludwigmdb/,,,,,,https://de.linkedin.com/in/daniela-ludwig-400873240?trk=public_post_feed-actor-name,,,,,,,,,,,,,,,,,,,,,,
340,Dr.,Saskia Ludwig,Saskia,Ludwig,CDU/CSU,Diplom-Kauffrau,Potsdam; verheiratet; zwei Kinder.,verheiratet,Brandenburg,Wahlkreis 060: Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,https://www.bundestag.de/abgeordnete/biografien/L/ludwig_saskia-1045888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Dr.,Anna Lührmann,Anna,Lührmann,Bündnis 90/Die Grünen,Politikwissenschaftlerin,Lich (Mittelhessen).,geschieden,Hessen,Wahlkreis 180: Main-Taunus,https://www.bundestag.de/abgeordnete/biografien/L/luehrmann_anna-1045894,http://www.anna-luehrmann.de,https://www.facebook.com/ALuehrmann/,https://www.instagram.com/annaluehrmann/,https://www.tiktok.com/@annaluehrmann,https://twitter.com/AnnaLuehrmann,https://mastodon.social/@annaluehrmann,,https://bsky.app/profile/did:plc:67btym6gasq3jwhhbs7p36zv,,https://www.threads.net/@annaluehrmann?invite=4,,,,,,,,,,,,,,,,,,,,,
342,,Bettina Lugk,Bettina,Lugk,SPD,Geowissenschaftlerin/ Verwaltungsfachwirtin,,geschieden,Nordrhein-Westfalen,Wahlkreis 149: Märkischer Kreis II,https://www.bundestag.de/abgeordnete/biografien/L/lugk_bettina-1045892,http://www.bettina-lugk.de,https://www.facebook.com/lugkbettina/,https://www.instagram.com/bettina_lugk/,https://www.tiktok.com/@bettina.lugk,,,,,,https://www.threads.net/@bettina_lugk,,https://youtube.com/@bettinalugk3892,,,,,,,,,,,,,,,,,,,
343,,Sebastian Maack,Sebastian,Maack,AfD,Diplom Wirtschaftsingeneur,,verheiratet,Berlin,Wahlkreis 076: Berlin-Reinickendorf,https://www.bundestag.de/abgeordnete/biografien/M/maack_sebastian-1045912,https://maack.berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Dr.,Tanja Machalet,Tanja,Machalet,SPD,Diplom-Volkswirtin,Dernbach; verheiratet; zwei Kinder.,verheiratet,Rheinland-Pfalz,Wahlkreis 203: Montabaur,https://www.bundestag.de/abgeordnete/biografien/M/machalet_tanja-1045922,https://www.tanja-machalet.de/,https://www.facebook.com/Tanja.Machalet.SPD,https://www.instagram.com/tanjamachalet/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,,Klaus Mack,Klaus,Mack,CDU/CSU,Diplom Verwaltungswirt (FH),Günzburg; römisch-katholisch.,geschieden,Baden-Württemberg,Wahlkreis 280: Calw,https://www.bundestag.de/abgeordnete/biografien/M/mack_klaus-1048912,https://www.klausmack.de,https://www.facebook.com/klaus.mack.37,https://www.instagram.com/_klausmack_/?hl=de,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,,Isabel Mackensen-Geis,Isabel,Mackensen-Geis,SPD,Fachreferentin,Schwetzingen; evangelisch; verheiratet; ein Kind.,verheiratet,Rheinland-Pfalz,Wahlkreis 207: Neustadt – Speyer,https://www.bundestag.de/abgeordnete/biografien/M/mackensen_geis_isabel-1045928,https://isabel-mackensen-geis.de/,https://www.facebook.com/imackensen/,https://www.instagram.com/isabelmackensen/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,,Holger Mann,Holger,Mann,SPD,,Dresden; aufgewachsen im Erzgebirge; seit 1997 wohnhaft in Leipzig; verheiratet; drei Kinder.,verheiratet,Sachsen,Wahlkreis 151: Leipzig I,https://www.bundestag.de/abgeordnete/biografien/M/mann_holger-1045960,https://holger-mann.de,https://www.facebook.com/Mann.Holger.SPD/,https://instagram.com/HolgerMannLE,https://www.tiktok.com/@holgermannle,https://twitter.com/HolgerMannLE,,,,,https://www.threads.net/@holgermannle?hl=de,,,,,,,,,,https://www.linkedin.com/in/holger-mann-mdb-1b4b1695/?originalSubdomain=de,,,,,,,,,,,
348,,Johann Martel,Johann,Martel,AfD,Technischer Fachwirt,Frunse; verheiratet; sechs Kinder.,verheiratet,Baden-Württemberg,Wahlkreis 276: Odenwald – Tauber,https://www.bundestag.de/abgeordnete/biografien/M/martel_johann-1045980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,,Parsa Marvi,Parsa,Marvi,SPD,,Teheran/Iran; verheiratet; zwei Söhne.,verheiratet,Baden-Württemberg,Wahlkreis 271: Karlsruhe-Stadt,https://www.bundestag.de/abgeordnete/biografien/M/marvi_parsa-1045992,https://www.parsa-marvi.de,https://www.facebook.com/Parsa.Marvi.SPD,https://www.instagram.com/parsa.marvi,,https://twitter.com/ParsaMarvi,,,,,,,,,,,https://www.xing.com/profile/Parsa_Marvi/cv,,,,,,,,,,,,,,,
350,,Katja Mast,Katja,Mast,SPD,Bankkauffrau,Offenburg; zwei Kinder.,geschieden,Baden-Württemberg,Wahlkreis 279: Pforzheim,https://www.bundestag.de/abgeordnete/biografien/M/mast_katja-1046000,http://www.katja-mast.de,https://www.facebook.com/katja.mast.politik/,https://www.instagram.com/katja.mast.politik/,https://www.tiktok.com/@katja.mast,https://twitter.com/KatjaMast,,,,,,,,,,,,,,,,,,,,,,,,,,
351,,Andreas Mattfeldt,Andreas,Mattfeldt,CDU/CSU,Industriekaufmann,Verden (Aller); verheiratet; zwei Kinder.,verheiratet,Niedersachsen,Wahlkreis 034: Osterholz – Verden,https://www.bundestag.de/abgeordnete/biografien/M/mattfeldt_andreas-1046008,http://www.andreas-mattfeldt.de,https://www.facebook.com/AndreasMattfeldtMdb/,https://www.instagram.com/andreas_mattfeldt,,https://twitter.com/AMattfeldt,,,,,,,https://www.youtube.com/channel/UCkq8gzxJ40aE0c2SNkkSMiA,,,,,,,,,,,,,,,,,,,
352,,Markus Matzerath,Markus,Matzerath,AfD,Polizeivollzugsbeamter i.d. Bundespolizei,Erkelenz; konfessionslos; verheiratet; drei Kinder.,verheiratet,Nordrhein-Westfalen,,https://www.bundestag.de/abgeordnete/biografien/M/matzerath_markus-1046014,https://markusmatzerath.de,https://www.facebook.com/share/12HGshqLYxc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,Andreas Mayer,Andreas,Mayer,AfD,Luft- und Raumfahrttechnikingenieur,Memmingen; verheiratet; zwei Kinder.,verheiratet,Bayern,Wahlkreis 253: Donau-Ries,https://www.bundestag.de/abgeordnete/biografien/M/mayer_andreas-1046022,,https://www.facebook.com/AndreasMayerAfD/,https://www.instagram.com/andreas.mayer.afd,https://www.tiktok.com/@andreas.mayer.afd,https://x.com/AndreasMayerAfD,,https://www.youtube.com/@AndreasMayerAfD,,,,https://t.me/AndreasMayerAfD,,,,,,,,,,,,,,,,,,,,
354,,Stephan Mayer,Stephan,Mayer,CDU/CSU,Rechtsanwalt,Burghausen; römisch-katholisch.,geschieden,Bayern,Wahlkreis 211: Altötting,https://www.bundestag.de/abgeordnete/biografien/M/mayer_stephan-1048932,http://www.mayerstephan.de,https://www.facebook.com/stephanmayercsu/,https://www.instagram.com/stephanmayercsu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Dr.,Zoe Mayer,Zoe,Mayer,Bündnis 90/Die Grünen,Doktorin der Ingenieurwissenschaften (Dr.-Ing.),Karlsruhe; konfessionslos; ledig.,ledig,Baden-Württemberg,Wahlkreis 271: Karlsruhe-Stadt,https://www.bundestag.de/abgeordnete/biografien/M/mayer_zoe-1046026,https://zoe-mayer.de/,,https://www.instagram.com/zoe.gruene,,,https://gruene.social/@zoe,,https://bsky.app/profile/did:plc:q7t67efseybhsa6tpvrjbfw4,,,,,,,,,,,https://www.tiktok.com/@zoe.gruene,,,,,,,,,https://www.threads.net/@zoe.gruene?hl=de,,,
356,,Volker Mayer-Lay,Volker,Mayer-Lay,CDU/CSU,Rechtsanwalt,Überlingen; römisch-katholisch; ledig.,ledig,Baden-Württemberg,Wahlkreis 293: Bodensee,https://www.bundestag.de/abgeordnete/biografien/M/mayer_lay_volker-1048934,https://mayer-lay-bundestag.de/,https://www.facebook.com/VolkerMayerLayCDU#,https://www.instagram.com/volkermayerlay/,,,,https://www.youtube.com/channel/UC1GGXpKD9j98-q7-1gXYnXw,,,,,,,,,,,,,,,,,,,,,,,,
357,,Tamara Mazzi,Tamara,Mazzi,Die Linke,Lehrerin,Kiel; verheiratet.,verheiratet,Schleswig-Holstein,Wahlkreis 005: Kiel,https://www.bundestag.de/abgeordnete/biografien/M/mazzi_tamara-1046028,https://www.tamara-mazzi.de,,https://www.instagram.com/tamarama109/,https://www.tiktok.com/@tamarama109,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,,Danny Meiners,Danny,Meiners,AfD,Metallbaumeister,Meppen.,geschieden,Niedersachsen,Wahlkreis 031: Mittelems,https://www.bundestag.de/abgeordnete/biografien/M/meiners_danny-1046044,,https://www.facebook.com/danny.meiners.9,https://www.instagram.com/danny.meiners.afd/#,,https://x.com/dannymeinersafd/,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,Pascal Meiser,Pascal,Meiser,Die Linke,Diplom Politikwissenschaftler,Saarbrücken.,geschieden,Berlin,Wahlkreis 082: Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,https://www.bundestag.de/abgeordnete/biografien/M/meiser_pascal-1046050,https://www.pascal-meiser.de/,https://www.facebook.com/pascalmeiser361,https://www.instagram.com/pascal.meiser.36/,https://www.tiktok.com/@pascal_meiser,https://www.twitter.com/pascalmeiser,,,https://bsky.app/profile/pascalmeiser.bsky.social,,,,,,,,,,,,,,,,,,,,,,,
360,Dr.,Michael Meister,Michael,Meister,CDU/CSU,Diplom Mathematiker,Lorsch; evangelisch; verheiratet; zwei Kinder.,verheiratet,Hessen,Wahlkreis 187: Bergstraße,https://www.bundestag.de/abgeordnete/biografien/M/meister_michael-1046052,https://www.meister-schafft.de/,https://de-de.facebook.com/Dr.Michael.Meister/,https://instagram.com/dr.michaelmeister,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,,Stella Merendino,Stella,Merendino,Die Linke,Gesundheits- und Krankenpflegerin,Gdansk; ledig.,ledig,Berlin,Wahlkreis 074: Berlin-Mitte,https://www.bundestag.de/abgeordnete/biografien/M/merendino_ottavia-1046072,https://www.stella-merendino.de,,https://www.instagram.com/stellaawellaa/,https://www.tiktok.com/@stella.merendino,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,,Friedrich Merz,Friedrich,Merz,CDU/CSU,Rechtsanwalt,Brilon; römisch-katholisch; verheiratet; drei Kinder.,verheiratet,Nordrhein-Westfalen,Wahlkreis 146: Hochsauerlandkreis,https://www.bundestag.de/abgeordnete/biografien/M/merz_friedrich-1046080,https://www.friedrich-merz.de/mdb/,https://www.facebook.com/MerzCDU,https://www.instagram.com/MerzCDU/#,,https://x.com/_FriedrichMerz,,,,,,,,,,,,,,,,,,,,,,,,,,
363,,Jan Metzler,Jan,Metzler,CDU/CSU,"Winzer, Diplom Betriebswirt (FH)","Worms, evangelisch, ledig.",ledig,Rheinland-Pfalz,Wahlkreis 205: Worms,https://www.bundestag.de/abgeordnete/biografien/M/metzler_jan-1046086,https://www.janmetzler.de/,https://www.facebook.com/unserJanMetzler/,https://www.instagram.com/jan.metzler/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,,Knuth Meyer-Soltau,Knuth,Meyer-Soltau,AfD,Rechtsanwalt,"Diepholz/Niedersachsen, aufgewachsen in Hamburg Neugraben, konfessionslos, verheiratet in 2. Ehe, 2 Kinder.",verheiratet,Nordrhein-Westfalen,Wahlkreis 139: Bochum I,https://www.bundestag.de/abgeordnete/biografien/M/meyer_soltau_knuth-1046106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,,Swantje Henrike Michaelsen,Swantje Henrike,Michaelsen,Bündnis 90/Die Grünen,,"Mainz, verheiratet, drei Kinder. 1995 bis 1996 Auslandsschuljahr in Bristol, England; 1999 Abitur am Gymnasium Oedeme in Lüneburg; 2000",verheiratet,Niedersachsen,Wahlkreis 042: Stadt Hannover II,https://www.bundestag.de/abgeordnete/biografien/M/michaelsen_swantje-1046108,https://swantje-michaelsen.de,https://www.facebook.com/swantje.michaelsen,https://www.instagram.com/swantjemichaelsen,,,,https://www.youtube.com/@swantje-michaelsen,,,,,,,,,,,,,,,,,,,,,,,,
366,,Kathrin Michel,Kathrin,Michel,SPD,,Forst (Lausitz); verheiratet; drei Kinder.,verheiratet,Sachsen,Wahlkreis 155: Bautzen I,https://www.bundestag.de/abgeordnete/biografien/M/michel_kathrin-1048962,https://www.michel-kathrin.de,https://www.facebook.com/@KathrinMichelSPD,,https://www.tiktok.com/@kthrn_mchl_spd,https://www.twitter.com/@Kthrn_Mchl_SPD,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Dr.,Mathias Middelberg,Mathias,Middelberg,CDU/CSU,Jurist,Osnabrück.,geschieden,Niedersachsen,Wahlkreis 039: Stadt Osnabrück,https://www.bundestag.de/abgeordnete/biografien/M/middelberg_mathias-1046116,http://mathias-middelberg.de/,http://facebook.com/mathias.middelberg,https://www.instagram.com/mathias.middelberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Dr.,Matthias Miersch,Matthias,Miersch,SPD,Rechtsanwalt,Hannover; evangelisch.,geschieden,Niedersachsen,Wahlkreis 047: Hannover-Land II,https://www.bundestag.de/abgeordnete/biografien/M/miersch_matthias-1046120,http://www.matthias-miersch.de,https://www.facebook.com/miersch.matthias,https://www.instagram.com/matthiasmiersch/?hl=de,https://www.tiktok.com/@matthias.miersch,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,,Matthias David Mieves,Matthias David,Mieves,SPD,Diplom-Kaufmann,Zweibrücken; verheiratet.,verheiratet,Rheinland-Pfalz,Wahlkreis 208: Kaiserslautern,https://www.bundestag.de/abgeordnete/biografien/M/mieves_matthias-1046124,https://matthiasmieves.de/,https://facebook.com/matthias.mieves,https://www.instagram.com/matthiasmieves/?hl=de,,,,,,,,,,,,,,,,,https://linkedin.com/in/matthias-mieves-a609211120/,,,,,,,,,,,
370,Dr.,Irene Mihalic,Irene,Mihalic,Bündnis 90/Die Grünen,Polizeibeamtin,"Waldbröl, verheiratet 2 Kinder, Wohnort Gelsenkirchen.",verheiratet,Nordrhein-Westfalen,Wahlkreis 122: Gelsenkirchen,https://www.bundestag.de/abgeordnete/biografien/M/mihalic_irene-1046128,https://irene-mihalic.de,https://facebook.irene-mihalic.de,https://instagram.com/irene.mihalic,https://tiktok.com/@irene.mihalic,https://x.com/irene.mihalic,,,https://bsky.app/profile/irene-mihalic.de,,,,,,,,,,,,,,,,,,,,,,,
371,,Boris Mijatović,Boris,Mijatović,Bündnis 90/Die Grünen,Angestellter,Kassel; verheiratet.,verheiratet,Hessen,Wahlkreis 167: Kassel,https://www.bundestag.de/abgeordnete/biografien/M/mijatovic_boris-1046130,https://www.boris-mijatovic.de/,https://www.facebook.com/BorisfuerBerlin,https://www.instagram.com/boris.mijatovic/,https://www.tiktok.com/@boris.mijatovic.mdb,https://twitter.com/borismijatovic,,,,https://www.linkedin.com/in/boris-mijatovic-kassel/,,,,,,,,,,,,,,,,,,,,,,
372,,Sergej Minich,Sergej,Minich,AfD,Wirtschaftsingenieur,Tokmak; ein Kind.,geschieden,Bremen,Wahlkreis 054: Bremen I,https://www.bundestag.de/abgeordnete/biografien/M/minich_sergej-1046136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,,Sahra Mirow,Sahra,Mirow,Die Linke,Wissenschaftliche Mitarbeiterin,Lübeck; ledig.,ledig,Baden-Württemberg,Wahlkreis 274: Heidelberg,https://www.bundestag.de/abgeordnete/biografien/M/mirow_sahra-1046140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,,Reinhard Mixl,Reinhard,Mixl,AfD,Diplom-Betriebswirt (FH),Waldkirchen.,geschieden,Bayern,Wahlkreis 233: Schwandorf,https://www.bundestag.de/abgeordnete/biografien/M/mixl_reinhard-1046146,https://reinhard-mixl-afd.de,https://www.facebook.com/reinhard.mixl.afd,,https://www.tiktok.com/@reinhard.mixl,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,,Siemtje Möller,Siemtje,Möller,SPD,Lehrerin,Emden; verheiratet; zwei Kinder.,verheiratet,Niedersachsen,Wahlkreis 026: Friesland – Wilhelmshaven – Wittmund,https://www.bundestag.de/abgeordnete/biografien/M/moeller_siemtje-1046172,https://siemtje-moeller.de/,https://www.facebook.com/siemtjemoeller/,https://www.instagram.com/siemtje_moeller/,https://www.tiktok.com/@siemtje_moeller,,,,,https://www.linkedin.com/in/siemtje-moeller,,,,,,,,,,,,,,,,,,,,,,
376,,Stefan Möller,Stefan,Möller,AfD,Rechtsanwalt,Erfurt; verheiratet; zwei Kinder.,verheiratet,Thüringen,Wahlkreis 189: Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,https://www.bundestag.de/abgeordnete/biografien/M/moeller_stefan-1046174,https://moellermachts.info,https://www.facebook.com/stefan.moeller.afd,https://www.instagram.com/stories/stefan_moeller_afd/,,https://x.com/MoellerAfD,,,,,,https://t.me/moellerth,,,,,,,,,,,,,,,,,,,,
